RowIndex,OsuX,OsuY,HitTime,Param1,HitSound,Param3
263,352,112,72237,1,0,0:0:0:0:
264,156,192,72471,1,0,0:0:0:0:
265,156,192,72706,5,8,0:0:0:0:
266,184,92,72940,5,0,0:0:0:0:
267,336,124,73409,1,0,0:0:0:0:
268,360,192,73643,5,8,0:0:0:0:
269,336,124,73878,5,0,0:0:0:0:
270,336,124,74346,1,0,0:0:0:0:
271,336,236,74581,1,0,0:0:0:0:
272,320,272,74698,1,0,0:0:0:0:
273,336,236,74815,1,0,0:0:0:0:
274,320,272,74932,1,0,0:0:0:0:
275,336,236,75050,5,8,0:0:0:0:
276,212,272,75401,1,8,0:0:0:0:
277,176,148,75753,1,8,0:0:0:0:
278,300,112,75987,5,0,0:0:0:0:
279,300,112,76221,1,0,0:0:0:0:
280,164,244,76456,1,0,0:0:0:0:
281,164,208,76573,1,0,0:0:0:0:
282,164,244,76690,1,0,0:0:0:0:
283,164,208,76807,1,0,0:0:0:0:
284,164,244,76925,5,8,0:0:0:0:
285,308,284,77276,1,8,0:0:0:0:
286,348,140,77628,1,8,0:0:0:0:
287,204,100,77862,5,0,0:0:0:0:
288,204,100,78096,1,0,0:0:0:0:
289,304,136,78331,1,0,0:0:0:0:
290,316,168,78448,1,0,0:0:0:0:
291,304,136,78565,1,0,0:0:0:0:
292,316,168,78682,1,0,0:0:0:0:
293,304,136,78800,1,0,0:0:0:0:
294,248,256,79151,1,0,0:0:0:0:
295,248,256,79268,5,8,0:0:0:0:
296,176,228,79503,5,0,0:0:0:0:
297,248,256,79737,1,0,0:0:0:0:
298,176,228,79971,1,0,0:0:0:0:
299,104,200,80206,5,8,0:0:0:0:
300,104,200,80440,5,0,0:0:0:0:
301,408,184,80675,1,0,0:0:0:0:
302,104,200,81143,5,8,0:0:0:0:
303,408,184,81612,5,0,0:0:0:0:
304,312,96,82081,1,0,0:0:0:0:
305,272,76,82198,1,0,0:0:0:0:
306,312,96,82315,1,0,0:0:0:0:
307,272,76,82432,1,0,0:0:0:0:
308,312,96,82550,5,8,0:0:0:0:
309,182,109,82901,1,8,0:0:0:0:
310,154,236,83253,1,8,0:0:0:0:
311,267,302,83487,5,0,0:0:0:0:
312,267,302,83604,1,0,0:0:0:0:
313,267,302,83721,1,0,0:0:0:0:
314,267,302,83839,1,0,0:0:0:0:
315,267,302,83956,5,8,0:0:0:0:
316,364,215,84190,5,0,0:0:0:0:
317,208,100,84425,1,0,0:0:0:0:
318,296,128,84659,1,0,0:0:0:0:
319,296,128,84776,1,0,0:0:0:0:
320,296,128,84893,5,8,0:0:0:0:
321,296,128,85128,5,0,0:0:0:0:
322,196,256,85362,1,0,0:0:0:0:
323,232,252,85479,1,0,0:0:0:0:
324,268,248,85596,1,0,0:0:0:0:
325,304,244,85714,1,0,0:0:0:0:
326,340,240,85831,5,8,0:0:0:0:
327,340,240,86065,5,0,0:0:0:0:
328,248,163,86300,1,0,0:0:0:0:
329,244,219,86417,1,0,0:0:0:0:
330,281,176,86534,1,0,0:0:0:0:
331,226,189,86651,1,0,0:0:0:0:
332,278,211,86768,1,0,0:0:0:0:
333,248,163,86885,1,0,0:0:0:0:
334,244,219,87002,1,0,0:0:0:0:
335,281,176,87119,1,0,0:0:0:0:
336,226,189,87236,1,0,0:0:0:0:
337,278,211,87353,1,0,0:0:0:0:
338,248,163,87471,1,0,0:0:0:0:
339,244,219,87588,1,0,0:0:0:0:
340,281,176,87705,1,0,0:0:0:0:
341,226,189,87822,1,0,0:0:0:0:
342,278,211,87939,1,0,0:0:0:0:
343,248,163,88057,1,0,0:0:0:0:
344,244,219,88174,1,0,0:0:0:0:
345,244,219,88643,1,0,0:0:0:0:
346,292,112,89346,1,0,0:0:0:0:
347,307,263,89464,1,0,0:0:0:0:
348,168,200,89581,1,0,0:0:0:0:
349,305,119,89698,1,0,0:0:0:0:
350,293,270,89815,1,0,0:0:0:0:
351,167,184,89932,1,0,0:0:0:0:
352,317,129,90050,1,0,0:0:0:0:
